user_segment,city,cart_size_at_show,cart_value_at_show,discount_on_order,has_main_in_cart,has_drink_in_cart,has_dessert_in_cart,has_side_in_cart,item_category,item_price,item_popularity,is_complement_category,is_bestseller,is_ghost_kitchen,meal_slot,hour,is_weekend,is_festival_order,is_rainy_weather,rank_shown,city_tier,user_preference_drift,meal_complete_score,label,missing_drink,missing_dessert,split
5,9,3,345.0,0.1,1,1,0,1,2,187.0,0.245,1,0,0,2,0,0,1,0,1,2,0,3,1,0,0,2
4,3,4,350.0,0.3,0,1,0,1,0,56.0,0.117,1,0,0,2,23,1,0,0,4,1,0,2,1,0,1,2
4,1,2,329.0,0.0,0,1,1,0,4,287.0,0.1,0,0,0,1,19,0,1,0,1,1,0,2,0,0,0,2
0,5,2,170.0,0.1,0,1,0,0,4,135.0,0.425,0,0,0,1,19,0,0,0,2,2,0,1,0,0,0,2
5,1,4,700.0,0.1,0,1,0,1,1,111.0,0.235,1,0,0,3,13,0,1,0,5,1,0,2,0,0,0,2
5,4,2,94.0,0.1,0,1,0,0,5,64.0,0.61,0,0,0,1,19,0,0,0,4,1,0,1,1,0,0,2
4,1,2,107.0,0.2,0,0,1,0,2,96.0,0.431,0,0,0,4,15,1,0,0,3,1,0,1,1,0,0,2
4,0,1,60.0,0.0,0,1,0,0,1,25.0,0.359,0,0,0,0,9,1,0,0,2,2,0,1,0,0,0,2
5,1,1,50.0,0.1,0,1,0,0,4,109.0,0.796,0,1,0,4,15,0,1,0,6,1,0,1,1,0,0,2
4,1,3,536.0,0.2,0,1,0,1,5,284.0,0.548,0,0,0,0,8,0,1,0,4,1,0,2,1,0,0,2
0,8,2,199.0,0.1,0,0,1,0,3,88.0,0.627,1,0,0,1,20,0,0,0,9,1,0,1,0,0,0,2
4,8,3,404.0,0.0,1,1,1,0,3,123.0,0.046,1,0,0,3,12,0,0,0,5,1,0,3,1,0,0,2
4,1,3,657.0,0.0,0,0,1,1,1,97.0,0.821,1,1,0,1,20,0,0,0,7,1,0,2,0,1,0,2
0,1,1,49.0,0.0,0,0,0,1,3,25.0,0.118,0,0,0,1,20,0,0,0,2,1,0,1,0,0,0,2
2,3,4,735.0,0.0,0,1,1,0,0,238.0,0.269,1,0,0,3,14,0,1,0,4,1,0,2,0,0,0,2
0,3,1,36.0,0.0,0,1,0,0,1,25.0,0.147,0,0,0,3,12,1,0,0,2,1,0,1,0,0,0,2
5,2,3,121.0,0.3,0,1,0,1,3,101.0,0.064,0,0,0,1,20,0,0,0,2,1,0,2,1,0,0,2
4,2,2,206.0,0.0,0,1,0,0,1,132.0,0.307,1,0,0,3,11,0,0,0,2,1,0,1,1,0,0,2
